date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:56	40463/40463	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:56%20GMT	http://www.rediff.com/getahead/2008/oct/09trans.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.rediff.com/getahead/2008/oct/09trans.htm	(from )
17:20:57	79884/79884	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:55%20GMT	http://www.thestreet.com/story/10389829/how-to-invest-in-gold.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.thestreet.com/story/10389829/how-to-invest-in-gold.html	(from )
17:20:57	10644/10644	---M--	200	added ('OK')	text/html	date:Wed,%2002%20Jan%202008%2001:50:16%20GMT	http://www.eaglewing.com/why.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.eaglewing.com/why.html	(from )
17:20:57	98/98	---M--	200	added ('OK')	text/plain	date:Wed,%2020%20Sep%202006%2010:01:53%20GMT	http://www.rediff.com/robots.txt		(from )
17:20:58	182/182	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jul%202010%2000:20:57%20GMT	http://www.eaglewing.com/robots.txt		(from )
17:20:58	78137/78137	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:55%20GMT	http://www.thestreet.com/story/10754683/1/is-it-time-to-invest-in-gold.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.thestreet.com/story/10754683/1/is-it-time-to-invest-in-gold.html	(from )
17:20:58	196/196	---MC-	200	added ('OK')	text/plain	etag:%22439980-1ec-41a1fe3ae4540%22	http://www.thestreet.com/robots.txt		(from )
17:20:58	1173/1173	---M--	200	added ('OK')	text/plain	date:Thu,%2006%20May%202010%2021:50:43%20GMT	http://findarticles.com/robots.txt		(from )
17:20:59	93371/93371	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:58%20GMT	http://in.answers.yahoo.com/question/index?qid=20080921210458AAJoGus	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/in.answers.yahoo.com/question/indexddc1.html	(from )
17:20:59	152/152	---MC-	200	added ('OK')	text/plain	date:Tue,%2015%20Jun%202010%2010:08:24%20GMT	http://in.answers.yahoo.com/robots.txt		(from )
17:21:02	61499/61499	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:59%20GMT	http://malaysia.answers.yahoo.com/question/index?qid=20100609044951AA4daDN	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/malaysia.answers.yahoo.com/question/indexadb8.html	(from )
17:21:05	22/22	---M--	200	added ('OK')	text/plain	etag:%22390f1d-16-3f240540%22	http://goldprice.org/robots.txt		(from )
17:21:05	20262/20262	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:20:59%20GMT	http://goldprice.org/buying-gold/2007/04/should-i-invest-in-gold-funds.html	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/goldprice.org/buying-gold/2007/04/should-i-invest-in-gold-funds.html	(from )
17:21:08	341/341	---MC-	200	added ('OK')	text/plain	etag:%22e0696a9c129eca1:0%22	http://www.fool.com/robots.txt		(from )
17:21:09	101700/101700	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:04%20GMT	http://www.fool.com/investing/dividends-income/2008/10/24/invest-without-the-stress.aspx	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.fool.com/investing/dividends-income/2008/10/24/invest-without-the-stress.html	(from )
17:21:09	58516/58516	---MC-	200	added ('OK')	text/html	etag:%2216a682d-e494-4681444751100%22	http://www.sec.gov/investor/pubs/inwsmf.htm	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/www.sec.gov/investor/pubs/inwsmf.htm	(from )
17:21:09	116/116	---MC-	200	added ('OK')	text/plain	etag:%2216a6409-10c-38c97cd924ec0%22	http://www.sec.gov/robots.txt		(from )
17:21:10	66778/66778	---MC-	403	error ('Forbidden')	text/html	date:Fri,%2016%20Jul%202010%2000:21:09%20GMT	http://en.wikipedia.org/wiki/Mutual_fund	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/en.wikipedia.org/wiki/Mutual_fund.1f5.delayed	(from )
17:21:10	337/337	---MC-	200	added ('OK')	text/plain	date:Fri,%2016%20Jul%202010%2000:21:10%20GMT	http://mutualfunds.about.com/robots.txt		(from )
17:21:11	98/98	---MC-	200	added ('OK')	text/plain	date:Thu,%2024%20Apr%202008%2000:58:54%20GMT	http://finance.yahoo.com/robots.txt		(from )
17:21:11	25816/25816	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202010%2000:21:10%20GMT	http://finance.yahoo.com/funds	C:/src/asi/Interns/JuliaSchwarz/Projects/WebCredibility/main/WebCredibility/Downloaded%20Web%20Pages/PagesForAllUrls/finance.yahoo.com/funds.html	(from )
